,Diagnoses,Count
371,"Other and unspecified alcohol dependence, in remission",3
372,Personal history of sudden cardiac arrest,3
373,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",3
374,"Post-traumatic stress disorder, unspecified",3
375,Acute and chronic respiratory failure with hypoxia,3
376,Posttraumatic stress disorder,3
377,Other encephalopathy,3
378,Chronic systolic heart failure,3
379,Iron deficiency anemia secondary to blood loss (chronic),3
380,Unspecified vascular insufficiency of intestine,3
381,"Dementia, unspecified, without behavioral disturbance",3
382,Knee joint replacement,3
383,"Chest pain, unspecified",3
384,"Sicca syndrome, unspecified",2
385,Unspecified sinusitis (chronic),2
386,Dermatitis due to drugs and medicines taken internally,2
387,Other and unspecified mycoses,2
388,"Other psychoactive substance abuse, uncomplicated",2
389,Unspecified psychosis not due to a substance or known physiological condition,2
390,Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle,2
391,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",2
392,"Other specified forms of effusion, except tuberculous",2
393,Lack of housing,2
394,Unemployment,2
395,"Hypoglycemia, unspecified",2
396,Patient's other noncompliance with medication regimen,2
397,Suicidal ideations,2
398,Acute alcoholic hepatitis,2
399,"Acute alcoholic intoxication in alcoholism, continuous",2
400,Monoclonal gammopathy,2
401,Multiple myeloma not having achieved remission,2
402,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),2
403,"Schizophrenia, unspecified",2
404,"Nephritis and nephropathy, not specified as acute or chronic, with other specified pathological lesion in kidney",2
405,"Autistic disorder, current or active state",2
406,Postprocedural hypotension,2
407,"Epilepsy, unspecified, without mention of intractable epilepsy",2
408,"Malignant neoplasm of bronchus and lung, unspecified",2
409,Personal history of other lymphatic and hematopoietic neoplasms,2
410,Presence of prosthetic heart valve,2
411,Personal history of Hodgkin lymphoma,2
412,Tracheostomy status,2
413,Borderline personality disorder,2
414,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",2
415,Non-pressure chronic ulcer of other part of left foot with unspecified severity,2
416,Rash and other nonspecific skin eruption,2
417,"Cerebral artery occlusion, unspecified with cerebral infarction",2
418,"Paranoid type schizophrenia, unspecified",2
419,Personal history of malignant neoplasm of kidney,2
420,"Fistula of intestine, excluding rectum and anus",2
421,Unspecified disorder of kidney and ureter,2
422,"Fall on same level, unspecified, initial encounter",2
423,Dysarthria,2
424,Other motor vehicle traffic accident involving collision with motor vehicle injuring driver of motor vehicle other than motorcycle,2
425,Injury to thoracic aorta,2
426,Traumatic pneumothorax without mention of open wound into thorax,2
427,Edema,2
428,Other cardiomyopathies,2
429,"Disruption of external operation (surgical) wound, not elsewhere classified, initial encounter",2
430,Mixed disorder of acid-base balance,2
431,Rheumatic disorders of both mitral and tricuspid valves,2
432,Other drug-induced pancytopenia,2
433,Chronic diastolic heart failure,2
434,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere,2
435,Fibromyalgia,2
436,Candidiasis of other urogenital sites,2
437,Pulmonary congestion and hypostasis,2
438,Acute vascular insufficiency of intestine,2
439,Other nonspecific abnormal finding of lung field,2
440,"Late effects of cerebrovascular disease, cognitive deficits",2
441,Adrenal cortical steroids causing adverse effects in therapeutic use,2
442,"Other complications due to other vascular device, implant, and graft",2
443,Personal history of pneumonia (recurrent),2
444,"Other diseases of bronchus, not elsewhere classified",2
445,Other late effects of cerebrovascular disease,2
446,"Decreased white blood cell count, unspecified",2
447,Chronic atrial fibrillation,2
448,Unspecified abdominal pain,2
449,Other overlap syndromes,2
450,Accidents occurring in unspecified place,2
451,Other respiratory abnormalities,2
452,Defibrination syndrome,2
453,"Other postprocedural shock, initial encounter",2
454,Other dysphagia,2
455,Automatic implantable cardiac defibrillator in situ,2
456,Atherosclerosis of aorta,2
457,Atrial flutter,2
458,Chronic or unspecified duodenal ulcer with hemorrhage,2
459,Congenital stricture of urethra,2
460,Unspecified macular degeneration,2
461,Benign prostatic hyperplasia without lower urinary tract symptoms,2
462,Acute embolism and thrombosis of deep veins of left upper extremity,2
463,Malignant neoplasm of thyroid gland,2
464,Intermediate coronary syndrome,2
465,Unspecified disease of pericardium,2
466,Personal history of urinary calculi,2
467,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),2
468,Other shock,2
469,"Other acute and subacute forms of ischemic heart disease, other",2
470,Diaphragmatic hernia without mention of obstruction or gangrene,2
471,Mixed acid-base balance disorder,2
472,"Esophagitis, unspecified",2
473,Other candidiasis of other specified sites,2
474,"Venous (peripheral) insufficiency, unspecified",2
475,Postinflammatory pulmonary fibrosis,2
476,Pneumonia in aspergillosis,2
477,Other nonspecific abnormal serum enzyme levels,2
478,Bone marrow replaced by transplant,2
479,Other and unspecified anti-infectives causing adverse effects in therapeutic use,2
480,Acquired absence of left breast and nipple,2
481,"Neutropenia, unspecified",2
482,Bronchiectasis without acute exacerbation,2
483,"Body Mass Index 31.0-31.9, adult",2
484,Other and unspecified coagulation defects,2
485,Malignant pleural effusion,2
486,Dependence on supplemental oxygen,2
487,Other and unspecified infection due to central venous catheter,2
488,"Personal history, urinary (tract) infection",2
489,Other chronic pancreatitis,2
490,Dysuria,2
491,Low back pain,2
492,Melena,2
493,Embolism and thrombosis of other specified artery,2
494,Other opiates and related narcotics causing adverse effects in therapeutic use,2
495,Alcoholic hepatic failure without coma,2
496,"Contusion of left lower leg, initial encounter",2
497,Pericardial effusion (noninflammatory),2
498,Cardiac tamponade,2
499,"Body mass index (BMI) 19.9 or less, adult",2
500,Unspecified dementia without behavioral disturbance,2
501,Enterocolitis due to Clostridium difficile,2
502,Gross hematuria,2
503,Other cirrhosis of liver,2
504,Acute and subacute hepatic failure without coma,2
505,Epistaxis,2
506,"Adverse effect of other opioids, initial encounter",2
507,Wet beriberi,2
508,"Adverse effect of diagnostic agents, initial encounter",2
509,"Polyneuropathy, unspecified",2
510,Persistent atrial fibrillation,2
511,"Dorsalgia, unspecified",2
512,Unspecified mental disorder due to known physiological condition,2
513,Other fatigue,2
514,"Gastrojejunal ulcer, unspecified as acute or chronic, without hemorrhage or perforation",2
515,Other specified abnormal findings of blood chemistry,2
516,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",2
517,"Urethral stricture, unspecified",2
518,Alcoholic polyneuropathy,2
519,"Sarcoidosis, unspecified",2
520,"Jaundice, unspecified, not of newborn",2
521,Ischemic cardiomyopathy,2
522,Acute pulmonary edema,2
523,Facial weakness,2
524,"Bradycardia, unspecified",2
525,"Adverse effect of loop [high-ceiling] diuretics, initial encounter",2
526,Monoplegia of lower limb following cerebral infarction affecting left non-dominant side,2
527,Other urogenital candidiasis,2
528,Syndrome of inappropriate secretion of antidiuretic hormone,2
529,"Body mass index (BMI) 36.0-36.9, adult",2
530,"Body mass index (BMI) 34.0-34.9, adult",2
531,Unspecified convulsions,2
532,Peripheral vascular angioplasty status with implants and grafts,2
533,Other specified soft tissue disorders,2
534,"Malignant neoplasm of left testis, unspecified whether descended or undescended",2
535,Solitary pulmonary nodule,2
536,Pneumonia due to Klebsiella pneumoniae,2
537,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,2
538,Secondary malignant neoplasm of bone and bone marrow,2
539,"Other diseases of lung, not elsewhere classified",2
540,Other septicemia due to gram-negative organisms,2
541,Hip joint replacement,2
542,Postprocedural fever,2
543,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified",2
544,Disruption of external operation (surgical) wound,2
545,Multiple sclerosis,2
546,Intracranial abscess,2
547,Compression of brain,2
548,"Family history of malignant neoplasm of trachea, bronchus, and lung",2
549,Closed fracture of four ribs,2
550,"Pressure ulcer, lower back",2
551,Secondary malignant neoplasm of adrenal gland,2
552,Secondary malignant neoplasm of lung,2
553,Dysphonia,2
554,"Contact dermatitis and other eczema, unspecified cause",2
555,Candidiasis of skin and nails,2
556,"Calculus of bile duct without mention of cholecystitis, without mention of obstruction",2
557,Streptococcal septicemia,2
558,Other bone involvement in diseases classified elsewhere,2
559,"Unspecified osteomyelitis, ankle and foot",2
560,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled",2
561,Non-pressure chronic ulcer of other part of right foot with unspecified severity,2
562,Other acute postoperative pain,2
563,Family history of malignant neoplasm of breast,2
564,Other specified forms of chronic ischemic heart disease,2
565,Other diuretics causing adverse effects in therapeutic use,2
566,Hemorrhage of rectum and anus,2
567,Calculus of kidney,2
568,Acute and subacute hepatic failure with coma,2
569,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere,2
570,Adult failure to thrive,2
571,Phlebitis and thrombophlebitis of superficial veins of upper extremities,2
572,Personal history of alcoholism,2
573,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction",2
574,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,2
575,"Localized swelling, mass and lump, left upper limb",2
576,"Surgical operation with implant of artificial internal device as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",2
577,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled",2
578,Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury,2
579,Other digestive system complications,2
580,Personal history of traumatic fracture,2
581,"Other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",2
582,Grand mal status,2
583,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation",2
584,Other B-complex deficiencies,2
585,"Osteoarthrosis, unspecified whether generalized or localized, hand",2
586,Mobitz (type) II atrioventricular block,2
587,"Body Mass Index between 19-24, adult",2
588,Intestinal bypass or anastomosis status,2
589,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms",2
590,"Body mass index (BMI) 24.0-24.9, adult",2
591,Supraventricular tachycardia,2
592,Procedure and treatment not carried out because of other contraindication,2
593,Diaphragmatic hernia without obstruction or gangrene,2
594,Other specified coagulation defects,2
595,Nontraumatic hematoma of soft tissue,2
596,Pseudomonas infection in conditions classified elsewhere and of unspecified site,2
597,Accidental fall on or from other stairs or steps,2
598,Alcohol withdrawal delirium,2
599,"Acquired absence of organ, genital organs",2
600,Benign neoplasm of cerebral meninges,2
601,Peritoneal adhesions (postprocedural) (postinfection),2
602,Umbilical hernia without mention of obstruction or gangrene,2
603,Other dorsalgia,2
604,Portal vein thrombosis,2
605,Personal history of self-harm,2
606,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]",2
607,"Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",2
608,"Body mass index (BMI) 23.0-23.9, adult",2
609,Intestinal adhesions [bands] with obstruction (postinfection),2
610,"Other foreign object in respiratory tract, part unspecified in causing asphyxiation, initial encounter",2
611,Closed fracture of lumbar vertebra without mention of spinal cord injury,2
612,"Other and unspecified alcohol dependence, continuous",2
613,"Surgical operation with anastomosis, bypass or graft as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",2
614,Nonrheumatic aortic (valve) stenosis,2
615,Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause,2
616,"Abdominal aortic aneurysm, without rupture",2
617,Status post administration of tPA (rtPA) in a different facility within the last 24 hours prior to admission to current facility,2
618,Other and unspecified angina pectoris,2
619,"Unspecified fracture of T7-T8 vertebra, initial encounter for closed fracture",2
620,Acute embolism and thrombosis of left femoral vein,2
621,"Body mass index (BMI) 38.0-38.9, adult",2
622,"Unspecified fracture of T5-T6 vertebra, initial encounter for closed fracture",2
623,"Migraine, unspecified, not intractable, without status migrainosus",2
624,Unspecified disturbance of conduct,1
625,"Gastrointestinal hemorrhage, unspecified",1
626,"Unspecified kyphosis, site unspecified",1
627,"Unspecified fracture of fourth thoracic vertebra, initial encounter for closed fracture",1
628,"Motorcycle driver injured in collision with fixed or stationary object in nontraffic accident, initial encounter",1
629,"Traumatic hemothorax, initial encounter",1
630,"Cannabis use, unspecified, uncomplicated",1
631,"Traumatic subarachnoid hemorrhage without loss of consciousness, initial encounter",1
632,"Unspecified displaced fracture of seventh cervical vertebra, initial encounter for closed fracture",1
633,"Concussion and edema of thoracic spinal cord, initial encounter",1
634,"Unspecified fracture of second lumbar vertebra, initial encounter for closed fracture",1
635,Nontoxic single thyroid nodule,1
